filename,id,ingredient_name,name,,,,
001_Large.jpeg,1,rajma,rajma chawal,,,,
,1,rice,,,,,
002_Large.jpeg,2,cottage cheese,paneer bhurji,,,,
,2,tomato,,,,,
003_Large.jpeg,3,moong daal,,,,,
,3,green chilly,,,,,
004_Large.jpeg,4,chicken,Butter chicken,,,,
,4,butter,,,,,
,4,cream,,,,,
IMG_0898.jpeg,5,granola,porridge,,,,
,5,banana chips,,,,,
,5,pumpkin seeds,,,,,
IMG_5728.jpeg,6,potato,baked potato,,,,
IMG_5743.jpeg,7,offal,haggis bonbons and steak and ale pie,,,,
,7,beef,,,,,
IMG_5786.jpeg,8,chicken,butter chicken with special fried rice and assorted naan breads,,,,
,8,butter,,,,,
,8,wheat,,,,,
,8,rice,,,,,
IMG_5812.jpeg,9,duck,duck breast and rump lamb,,,,
,9,lamb,,,,,
IMG_5815.jpeg,10,bacon,traditional scottish and continental breakfast,,,,"back bacon, scrambled eggs, potato scones, croissant, pain au chocolat, porridge with fruits of the forest and home-made granola"
,10,egg,,,,,
,10,granola,,,,,
IMG_5819.jpeg,11,chicken,"won ton soup, chicken chow mein, chicken katsu ",,,,
,11,noodles,,,,,
IMG_0674.jpeg,12,egg,egg on toast,,,,
,12,bread,,,,,
20240730_151208.jpg,13,eggplant,vegetable tian with noodles,,,,
,13,noodles,,,,,
20240730_161426.jpg,14,eggplant,vegetable tian with noodles and cheese,,,,
,14,noodles,,,,,
,14,feta cheese,,,,,
ramen.jpg,15,green onion,negi miso ramen,,,,"green onion, bean sprouts, pork, noodles"
,15,bean sprouts,,,,,
,15,pork,,,,,
,15,noodles,,,,,
salmonsteak.jpg,16,salmon,salmon steak,,,,
,16,white beans,,,,,
SaltandPepperLobster.jpg,17,lobster,Salt and Pepper Lobster,,,,
,17,butter,,,,,
sushi.jpg,18,salmon,sushi,,,,
,18,tuna,,,,,
,18,rice,,,,,
,18,seaweed,,,,,
wafflensmoothie.jpg,19,all-purpose flour,"waffle, smoothie",,,,
,19,egg,,,,,
,19,milk,,,,,
AvocadoQuinoaSuperfoodEnsalada.jpg,20,avocado,Avocado quinoa salad,,,,
,20,lettuce,,,,,
,20,quinoa,,,,,
chocolate_martini.jpg,21,cocoa,Chocolate martini,,,,
,21,vodka,,,,,
blue_margarita.jpg,22,tequila,Blue margarita,,,,
,22,triple sec,,,,,
pain_au_chocolat.jpg,23,all-purpose flour,Pain au chocolat,,,,
,23,butter,,,,,
,23,chocolate,,,,,
calamari_spaghetti.jpg,24,squid,Calamari spaghetti,,,,
,24,pasta,,,,,
spanish_omelette.jpg,25,egg,Spanish omelette,,,,
,25,potato,,,,,
breakfast_quesadilla.jpg,26,egg,Breakfast quesadilla,,,,
,26,tortilla,,,,,
pesto_tomato_pizza.jpg,27,basil,Pesto tomato pizza,,,,
,27,olive oil,,,,,
chestnut_cream_cake.jpg,28,sugar,Chestnut cream cake,,,,
,28,milk,,,,,
chocolate_icecream.jpg,29,milk,Chocolate icecream,,,,
,29,cocoa,,,,,
waffle.jpg,30,all-purpose flour,Waffles,,,,
,30,sugar,,,,,
