recipe_id,ingredient_name
1,rajma
1,rice
2,cottage cheese
2,tomato
3,moong daal
3,green chilly
4,chicken
4,butter
4,cream
5,granola
5,banana chips
5,pumpkin seeds
6,potato
7,offal
7,beef
8,chicken
8,butter
8,wheat
8,rice
9,duck
9,lamb
10,bacon
10,egg
10,granola
11,chicken
11,noodles
12,egg
12,bread
13,eggplant
13,noodles
14,eggplant
14,noodles
14,feta cheese
15,green onion
15,bean sprouts
15,pork
15,noodles
16,salmon
16,white beans
17,lobster
17,butter
18,salmon
18,tuna
18,rice
18,seaweed
19,all-purpose flour
19,egg
19,milk
20,avocado
20,lettuce
20,quinoa
21,cocoa
21,vodka
22,tequila
22,triple sec
23,all-purpose flour
23,butter
23,chocolate
24,squid
24,pasta
25,egg
25,potato
26,egg
26,tortilla
27,basil
27,olive oil
28,sugar
28,milk
29,milk
29,cocoa
30,all-purpose flour
30,sugar
