url,id,contributor,name,type,location,cuisine,caption,Recipe URL,constraint_id
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/001_Large.jpeg,1,gautam,rajma chawal,main dish,NJ,Indian,Beans with rice,https://www.tarladalal.com/rajma-chawal-punjabi-rajma-chawal-4951r,1
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/002_Large.jpeg,2,gautam,paneer bhurji,main dish,NJ,Indian,"Scrambled cottage cheese with finely chopped onion, bell pepper and tomatoes",https://www.indianhealthyrecipes.com/paneer-bhurji-recipe/,2
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/003_Large.jpeg,3,gautam,moong dal,main dish,NJ,Indian,Yellow petite lentils,https://spicecravings.com/moong-dal,3
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/004_Large.jpeg,4,gautam,Butter chicken,main dish,NJ,Indian,Chicken in Creamy tomato based gravy,https://www.indianhealthyrecipes.com/butter-chicken/,4
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/IMG_0898.jpeg,5,gavin,porridge,main dish,UK,Scottish,"Porridge with fruits of the forrest, homemade granola, banana chips, and pumpkin seeds",https://www.kingshousehotel.co.uk/eat-drink/,5
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/IMG_5728.jpeg,6,gavin,baked potato,main dish,UK,Scottish,"Baked potato with Scottish Cheddar, Branston Pickles and a side salad of iceberg letture and cherry tomatoes ",https://www.loveandlemons.com/baked-potato/,6
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/IMG_5743.jpeg,7,gavin,haggis bonbons and steak and ale pie,main dish,UK,Scottish,"Haggis bonbons served with an apple puree, steak and ale pie served with chips","https://www.rowardennanhotel.co.uk/facilities
https://cookingwithbry.com/haggis-bon-bons-recipe/",7
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/IMG_5786.jpeg,8,gavin,butter chicken with special fried rice and assorted naan breads,main dish,UK,Indian,"Butter chicken, special fried rice, garlic naan, peshwari naan",https://www.tajmahal-oban.co.uk/,8
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/IMG_5812.jpeg,9,gavin,duck breast and rump lamb,main dish,UK,British,"Pan fried duck breast, chump potato, roast candied beetroot, and port jus; roasted rosemary rump lamb, garlic crushed potatoes, hispy cabbage, and mint jus","https://www.kingshousehotel.co.uk/eat-drink/
https://honest-food.net/how-to-cook-duck-breasts/
",9
https://raw.githubusercontent.com/aperture-data/Cookbook/refs/heads/main/images/IMG_5815.jpeg,10,gavin,traditional scottish and continental breakfast,breakfast,UK,Scottish,"back bacon, scrambled eggs, potato scones, croissant, pain au chocolat, porridge with fruits of the forest and home-made granola","https://www.kingshousehotel.co.uk/eat-drink/
https://www.allrecipes.com/recipe/241419/potato-scones/
https://www.sumptuousspoonfuls.com/caramelized-roasted-beets/",10
